timestamp,new_position,prev_position,turnover,cost
2025-01-01 00:00:00+00:00,1.0,1.0,0.0,0.0
2025-01-01 06:00:00+00:00,0.0,1.0,1.0,0.0
2025-01-01 12:00:00+00:00,1.0,0.0,1.0,0.0
2025-01-08 03:00:00+00:00,0.0,1.0,1.0,0.0
2025-01-08 14:00:00+00:00,1.0,0.0,1.0,0.0
2025-01-08 17:00:00+00:00,0.0,1.0,1.0,0.0
2025-01-09 09:00:00+00:00,-1.0,0.0,1.0,0.0
2025-01-09 11:00:00+00:00,0.0,-1.0,1.0,0.0
2025-01-10 09:00:00+00:00,1.0,0.0,1.0,0.0
2025-01-10 13:00:00+00:00,0.0,1.0,1.0,0.0
2025-01-11 09:00:00+00:00,1.0,0.0,1.0,0.0
2025-01-12 00:00:00+00:00,0.0,1.0,1.0,0.0
2025-01-12 06:00:00+00:00,1.0,0.0,1.0,0.0
2025-01-14 17:00:00+00:00,0.0,1.0,1.0,0.0
2025-01-15 06:00:00+00:00,1.0,0.0,1.0,0.0
2025-01-16 05:00:00+00:00,0.0,1.0,1.0,0.0
2025-01-16 10:00:00+00:00,1.0,0.0,1.0,0.0
2025-01-19 06:00:00+00:00,0.0,1.0,1.0,0.0
2025-01-19 14:00:00+00:00,1.0,0.0,1.0,0.0
2025-01-21 16:00:00+00:00,0.0,1.0,1.0,0.0
2025-01-22 18:00:00+00:00,1.0,0.0,1.0,0.0
2025-01-22 23:00:00+00:00,0.0,1.0,1.0,0.0
2025-01-23 07:00:00+00:00,1.0,0.0,1.0,0.0
2025-01-23 10:00:00+00:00,0.0,1.0,1.0,0.0
2025-01-23 12:00:00+00:00,1.0,0.0,1.0,0.0
2025-01-23 17:00:00+00:00,0.0,1.0,1.0,0.0
2025-01-23 23:00:00+00:00,1.0,0.0,1.0,0.0
2025-01-24 14:00:00+00:00,0.0,1.0,1.0,0.0
2025-01-24 23:00:00+00:00,1.0,0.0,1.0,0.0
2025-01-27 20:00:00+00:00,0.0,1.0,1.0,0.0
2025-01-28 00:00:00+00:00,1.0,0.0,1.0,0.0
2025-01-28 03:00:00+00:00,0.0,1.0,1.0,0.0
2025-01-28 23:00:00+00:00,1.0,0.0,1.0,0.0
2025-01-30 02:00:00+00:00,0.0,1.0,1.0,0.0
2025-01-31 04:00:00+00:00,1.0,0.0,1.0,0.0
2025-01-31 20:00:00+00:00,0.0,1.0,1.0,0.0
2025-02-01 00:00:00+00:00,1.0,0.0,1.0,0.0
2025-02-03 23:00:00+00:00,0.0,1.0,1.0,0.0
2025-02-04 09:00:00+00:00,1.0,0.0,1.0,0.0
2025-02-04 14:00:00+00:00,0.0,1.0,1.0,0.0
2025-02-04 20:00:00+00:00,1.0,0.0,1.0,0.0
