timestamp,open,high,low,close,volume,position,asset_return,realized_vol_24,position_lag,turnover
2025-01-01 00:00:00+00:00,93500.0,94361.03,93421.15,94361.03,3.23224,-1.0,0.00920887700534756,0.02505887924195675,0.0,1.0
2025-01-01 01:00:00+00:00,94171.9,94171.9,93550.01,93697.65,0.48539,-1.0,-0.007030232713653106,0.026270057965117437,-1.0,0.0
2025-01-01 02:00:00+00:00,93557.32,94055.55,93557.31,94055.55,0.40874,-1.0,0.003819732938873166,0.026459735335372138,-1.0,0.0
2025-01-01 03:00:00+00:00,94055.49,94055.49,93679.0,93679.0,0.25013,-1.0,-0.004003485174452814,0.026872598609486664,-1.0,0.0
2025-01-01 04:00:00+00:00,93829.35,93829.35,93551.0,93652.13,1.42027,-1.0,-0.00028683055967715365,0.026846070351776635,-1.0,0.0
2025-01-01 05:00:00+00:00,93647.52,93891.76,93551.0,93818.1,1.48931,-1.0,0.0017721967455519572,0.02682634172322206,-1.0,0.0
2025-01-01 06:00:00+00:00,93800.0,93800.0,93623.69,93623.71,0.18829,-1.0,-0.002071988241075018,0.02694770637415428,-1.0,0.0
2025-01-01 07:00:00+00:00,93700.9,93782.19,93623.71,93705.01,0.06152,-1.0,0.0008683697751348252,0.026945440350110088,-1.0,0.0
2025-01-01 08:00:00+00:00,93630.01,93740.14,93345.17,93422.68,0.67044,-1.0,-0.0030129659022500865,0.02309457567573487,-1.0,0.0
2025-01-01 09:00:00+00:00,93492.3,93492.3,92990.95,93323.63,3.2964,-1.0,-0.0010602350521307091,0.023081130955815737,-1.0,0.0
2025-01-01 10:00:00+00:00,93323.63,93508.46,93323.63,93376.74,0.03027,-1.0,0.0005690948798284801,0.023025911217218926,-1.0,0.0
2025-01-01 11:00:00+00:00,93250.69,93642.47,93250.69,93403.3,0.12576,-1.0,0.00028443914405240633,0.023022734087016026,-1.0,0.0
2025-01-01 12:00:00+00:00,93456.27,93860.87,93456.27,93827.78,0.06094,-1.0,0.004544593178185341,0.023122224117887842,-1.0,0.0
2025-01-01 13:00:00+00:00,93808.6,93991.11,93582.58,93940.71,0.0384,-1.0,0.0012035881057828046,0.02001450892491389,-1.0,0.0
2025-01-01 14:00:00+00:00,94043.17,94399.99,93708.29,94176.15,0.25638,-1.0,0.002506261662275966,0.020273912201870366,-1.0,0.0
2025-01-01 15:00:00+00:00,94200.68,94439.94,93905.85,94365.34,0.07848,-1.0,0.0020088950334029576,0.02037535347766953,-1.0,0.0
2025-01-01 16:00:00+00:00,94390.16,94419.66,93920.71,94084.68,0.77938,-1.0,-0.002974185225210868,0.020033408697068725,-1.0,0.0
2025-01-01 17:00:00+00:00,94016.92,94209.41,93724.14,94209.41,0.61313,-1.0,0.00132572061678915,0.017989074536098416,-1.0,0.0
2025-01-01 18:00:00+00:00,94203.74,94361.16,94001.02,94313.73,0.42253,-1.0,0.0011073203833884548,0.017932054855716174,-1.0,0.0
2025-01-01 19:00:00+00:00,94387.21,94761.45,94151.62,94689.21,0.98978,-1.0,0.003981180682812724,0.018125325561153677,-1.0,0.0
2025-01-01 20:00:00+00:00,94612.21,94861.45,94572.8,94750.48,0.29701,-1.0,0.0006470642219951195,0.016403943567774564,-1.0,0.0
2025-01-01 21:00:00+00:00,94807.82,95073.76,94730.84,94964.54,2.72189,-1.0,0.0022591969982632687,0.016270679111775373,-1.0,0.0
2025-01-01 22:00:00+00:00,94990.29,94990.29,94743.05,94796.01,0.12793,-1.0,-0.0017746624160975832,0.015953202920455163,-1.0,0.0
