symbol,window_idx,window_start,window_end,decision_raw,position,latency_s,attempts,error
BTC-USD,0,2023-01-01,2023-02-14,SELL,-1.0,472.48,1,
BTC-USD,1,2023-02-15,2023-03-31,SELL,-1.0,263.03,1,
BTC-USD,2,2023-04-01,2023-05-15,SELL,-1.0,315.88,1,
BTC-USD,3,2023-05-16,2023-06-29,SELL,-1.0,362.31,1,
BTC-USD,4,2023-06-30,2023-08-13,SELL,-1.0,325.64,1,
BTC-USD,5,2023-08-14,2023-09-27,SELL,-1.0,260.15,1,
BTC-USD,6,2023-09-28,2023-11-11,HOLD,0.0,281.59,1,
BTC-USD,7,2023-11-12,2023-12-26,SELL,-1.0,280.62,1,
BTC-USD,8,2023-12-27,2024-02-09,HOLD,0.0,310.12,1,
BTC-USD,9,2024-02-10,2024-03-25,SELL,-1.0,289.77,1,
BTC-USD,10,2024-03-26,2024-05-09,SELL,-1.0,334.42,1,
BTC-USD,11,2024-05-10,2024-06-23,HOLD,0.0,407.7,1,
BTC-USD,12,2024-06-24,2024-08-07,SELL,-1.0,323.77,1,
BTC-USD,13,2024-08-08,2024-09-21,HOLD,0.0,266.63,1,
BTC-USD,14,2024-09-22,2024-11-05,SELL,-1.0,293.52,1,
BTC-USD,15,2024-11-06,2024-12-20,SELL,-1.0,300.99,1,
BTC-USD,16,2024-12-21,2025-02-03,SELL,-1.0,261.78,1,
BTC-USD,17,2025-02-04,2025-03-20,HOLD,0.0,271.56,1,
BTC-USD,18,2025-03-21,2025-05-04,HOLD,0.0,304.82,1,
BTC-USD,19,2025-05-05,2025-06-18,HOLD,0.0,254.1,1,
BTC-USD,20,2025-06-19,2025-08-02,SELL,-1.0,286.56,1,
BTC-USD,21,2025-08-03,2025-09-16,HOLD,0.0,369.03,1,
BTC-USD,22,2025-09-17,2025-10-31,HOLD,0.0,300.62,1,
BTC-USD,23,2025-11-01,2025-12-15,HOLD,0.0,366.05,1,
BTC-USD,24,2025-12-16,2025-12-31,SELL,-1.0,407.32,1,
