timestamp,new_position,prev_position,turnover,cost
2025-01-01 00:00:00+00:00,-1.0,-1.0,0.0,0.0
2025-01-02 10:00:00+00:00,1.0,-1.0,2.0,0.0
2025-01-08 04:00:00+00:00,-1.0,1.0,2.0,0.0
2025-01-15 19:00:00+00:00,1.0,-1.0,2.0,0.0
2025-01-19 14:00:00+00:00,-1.0,1.0,2.0,0.0
2025-01-19 17:00:00+00:00,1.0,-1.0,2.0,0.0
2025-01-21 07:00:00+00:00,-1.0,1.0,2.0,0.0
2025-01-24 14:00:00+00:00,1.0,-1.0,2.0,0.0
2025-01-27 04:00:00+00:00,-1.0,1.0,2.0,0.0
2025-01-31 04:00:00+00:00,1.0,-1.0,2.0,0.0
2025-02-02 07:00:00+00:00,-1.0,1.0,2.0,0.0
2025-02-13 08:00:00+00:00,1.0,-1.0,2.0,0.0
2025-02-18 23:00:00+00:00,-1.0,1.0,2.0,0.0
2025-02-20 00:00:00+00:00,1.0,-1.0,2.0,0.0
2025-02-22 11:00:00+00:00,-1.0,1.0,2.0,0.0
2025-02-22 22:00:00+00:00,1.0,-1.0,2.0,0.0
2025-02-24 21:00:00+00:00,-1.0,1.0,2.0,0.0
2025-03-03 07:00:00+00:00,1.0,-1.0,2.0,0.0
2025-03-04 02:00:00+00:00,-1.0,1.0,2.0,0.0
2025-03-06 10:00:00+00:00,1.0,-1.0,2.0,0.0
2025-03-07 07:00:00+00:00,-1.0,1.0,2.0,0.0
2025-03-17 19:00:00+00:00,1.0,-1.0,2.0,0.0
2025-03-18 21:00:00+00:00,-1.0,1.0,2.0,0.0
2025-03-19 05:00:00+00:00,1.0,-1.0,2.0,0.0
2025-03-27 15:00:00+00:00,-1.0,1.0,2.0,0.0
2025-04-12 19:00:00+00:00,1.0,-1.0,2.0,0.0
2025-04-16 13:00:00+00:00,-1.0,1.0,2.0,0.0
2025-04-20 03:00:00+00:00,1.0,-1.0,2.0,0.0
2025-04-20 15:00:00+00:00,-1.0,1.0,2.0,0.0
2025-04-21 11:00:00+00:00,1.0,-1.0,2.0,0.0
2025-05-01 03:00:00+00:00,-1.0,1.0,2.0,0.0
2025-05-01 11:00:00+00:00,1.0,-1.0,2.0,0.0
2025-05-05 14:00:00+00:00,-1.0,1.0,2.0,0.0
2025-05-08 04:00:00+00:00,1.0,-1.0,2.0,0.0
2025-05-17 12:00:00+00:00,-1.0,1.0,2.0,0.0
2025-05-21 13:00:00+00:00,1.0,-1.0,2.0,0.0
2025-05-25 06:00:00+00:00,-1.0,1.0,2.0,0.0
2025-05-27 11:00:00+00:00,1.0,-1.0,2.0,0.0
2025-05-31 02:00:00+00:00,-1.0,1.0,2.0,0.0
2025-06-03 17:00:00+00:00,1.0,-1.0,2.0,0.0
2025-06-06 02:00:00+00:00,-1.0,1.0,2.0,0.0
2025-06-10 03:00:00+00:00,1.0,-1.0,2.0,0.0
2025-06-13 13:00:00+00:00,-1.0,1.0,2.0,0.0
2025-06-24 22:00:00+00:00,1.0,-1.0,2.0,0.0
2025-07-02 01:00:00+00:00,-1.0,1.0,2.0,0.0
2025-07-02 20:00:00+00:00,1.0,-1.0,2.0,0.0
2025-07-24 06:00:00+00:00,-1.0,1.0,2.0,0.0
2025-07-25 07:00:00+00:00,1.0,-1.0,2.0,0.0
2025-07-25 21:00:00+00:00,-1.0,1.0,2.0,0.0
2025-07-26 05:00:00+00:00,1.0,-1.0,2.0,0.0
2025-08-01 06:00:00+00:00,-1.0,1.0,2.0,0.0
2025-08-05 10:00:00+00:00,1.0,-1.0,2.0,0.0
2025-08-06 02:00:00+00:00,-1.0,1.0,2.0,0.0
2025-08-06 19:00:00+00:00,1.0,-1.0,2.0,0.0
2025-08-16 15:00:00+00:00,-1.0,1.0,2.0,0.0
2025-08-18 01:00:00+00:00,1.0,-1.0,2.0,0.0
2025-08-18 02:00:00+00:00,-1.0,1.0,2.0,0.0
2025-08-22 19:00:00+00:00,1.0,-1.0,2.0,0.0
2025-08-26 11:00:00+00:00,-1.0,1.0,2.0,0.0
2025-08-27 08:00:00+00:00,1.0,-1.0,2.0,0.0
2025-08-28 09:00:00+00:00,-1.0,1.0,2.0,0.0
2025-09-04 05:00:00+00:00,1.0,-1.0,2.0,0.0
2025-09-04 22:00:00+00:00,-1.0,1.0,2.0,0.0
2025-09-10 20:00:00+00:00,1.0,-1.0,2.0,0.0
2025-09-16 12:00:00+00:00,-1.0,1.0,2.0,0.0
2025-09-18 19:00:00+00:00,1.0,-1.0,2.0,0.0
2025-09-19 12:00:00+00:00,-1.0,1.0,2.0,0.0
2025-09-29 12:00:00+00:00,1.0,-1.0,2.0,0.0
2025-10-08 14:00:00+00:00,-1.0,1.0,2.0,0.0
2025-10-20 10:00:00+00:00,1.0,-1.0,2.0,0.0
2025-10-21 12:00:00+00:00,-1.0,1.0,2.0,0.0
2025-10-24 18:00:00+00:00,1.0,-1.0,2.0,0.0
2025-10-29 22:00:00+00:00,-1.0,1.0,2.0,0.0
2025-11-10 00:00:00+00:00,1.0,-1.0,2.0,0.0
2025-11-13 16:00:00+00:00,-1.0,1.0,2.0,0.0
2025-11-25 09:00:00+00:00,1.0,-1.0,2.0,0.0
2025-12-01 08:00:00+00:00,-1.0,1.0,2.0,0.0
2025-12-03 10:00:00+00:00,1.0,-1.0,2.0,0.0
2025-12-13 05:00:00+00:00,-1.0,1.0,2.0,0.0
2025-12-20 15:00:00+00:00,1.0,-1.0,2.0,0.0
2025-12-24 09:00:00+00:00,-1.0,1.0,2.0,0.0
2025-12-29 06:00:00+00:00,1.0,-1.0,2.0,0.0
